"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.17526066289118,0.735,0.101,0,"Epithelial cells","MAL"
0,3.02312223239755,0.722,0.093,0,"Epithelial cells","EPCAM"
0,2.33198217911604,0.781,0.178,0,"Epithelial cells","CD24"
0,2.92190143346691,0.644,0.093,0,"Epithelial cells","BICC1"
0,2.8973393294261,0.633,0.097,0,"Epithelial cells","CDH16"
0,2.37478175461275,0.663,0.135,0,"Epithelial cells","SPINT2"
0,3.02473065180951,0.582,0.066,0,"Epithelial cells","PKHD1"
0,2.56977843793136,0.597,0.084,0,"Epithelial cells","KCNJ16"
0,2.53455124349877,0.594,0.088,0,"Epithelial cells","PAX8"
0,1.94717486264625,0.732,0.23,0,"Epithelial cells","COBLL1"
0,3.20854258107484,0.713,0.228,0,"Epithelial cells","DEFB1"
0,4.11493294172353,0.525,0.045,0,"Epithelial cells","WFDC2"
0,1.8853170717728,0.695,0.216,0,"Epithelial cells","CLU"
0,3.04599448217515,0.548,0.085,0,"Epithelial cells","TACSTD2"
0,2.27030574195733,0.896,0.438,0,"Epithelial cells","ATP1B1"
0,3.29129927988704,0.497,0.042,0,"Epithelial cells","MUC1"
0,1.86777327945695,0.661,0.214,0,"Epithelial cells","LINC00472"
0,2.12048203146471,0.526,0.083,0,"Epithelial cells","SDC4"
0,1.79617376014264,0.57,0.127,0,"Epithelial cells","ARHGAP24"
0,1.15758482764799,0.624,0.182,0,"Epithelial cells","TSTD1"
0,1.88510020949957,0.53,0.091,0,"Epithelial cells","EMX2"
0,3.52643718622456,0.496,0.059,0,"Epithelial cells","HSD11B2"
0,2.31476834385395,0.506,0.07,0,"Epithelial cells","CCDC198"
0,1.49126285075226,0.553,0.119,0,"Epithelial cells","SCIN"
0,1.76370169183693,0.589,0.157,0,"Epithelial cells","NEDD4L"
0,2.32628359393411,0.478,0.047,0,"Epithelial cells","DMKN"
0,1.3868824904109,0.648,0.22,0,"Epithelial cells","AIF1L"
0,3.03556686725995,0.462,0.034,0,"Epithelial cells","SCNN1A"
0,2.38901749019158,0.477,0.053,0,"Epithelial cells","MAL2"
0,2.89744741626735,0.502,0.084,0,"Epithelial cells","ESRRG"
0,2.8377601000412,0.5,0.082,0,"Epithelial cells","CA12"
0,1.67623306957098,0.545,0.129,0,"Epithelial cells","ANK3"
0,1.3079116788823,0.543,0.134,0,"Epithelial cells","RBM47"
0,1.44586417013075,0.561,0.154,0,"Epithelial cells","GSTM3"
0,1.40477476836915,0.532,0.126,0,"Epithelial cells","KRT18"
0,2.62796055359751,0.457,0.053,0,"Epithelial cells","KRT19"
0,2.11369138892798,0.455,0.052,0,"Epithelial cells","PAX2"
0,2.93904135017461,0.44,0.037,0,"Epithelial cells","CLDN7"
0,2.17739922418399,0.458,0.057,0,"Epithelial cells","TFCP2L1"
0,3.08427207717981,0.428,0.028,0,"Epithelial cells","CDH1"
0,1.85220772513862,0.504,0.105,0,"Epithelial cells","PATJ"
0,2.08053333623242,0.457,0.058,0,"Epithelial cells","POU3F3"
0,2.21802131699576,0.486,0.088,0,"Epithelial cells","CPVL"
0,2.56357882550703,0.45,0.053,0,"Epithelial cells","KIF12"
0,2.04034232870858,0.481,0.084,0,"Epithelial cells","PTPN13"
0,2.99091100584129,0.434,0.038,0,"Epithelial cells","PERP"
0,1.46069309749029,0.491,0.1,0,"Epithelial cells","CYS1"
0,3.03529566713478,0.431,0.042,0,"Epithelial cells","TMEM213"
0,3.4465659941455,0.409,0.022,0,"Epithelial cells","CLDN4"
0,2.37947264552476,0.438,0.055,0,"Epithelial cells","LAMB1"
0,1.46615151512813,0.666,0.288,0,"Epithelial cells","CTSD"
0,1.78163530827982,0.536,0.158,0,"Epithelial cells","SLC5A3"
0,1.03812794567255,0.54,0.165,0,"Epithelial cells","ALDH1A1"
0,1.6749784994403,0.654,0.283,0,"Epithelial cells","ATP6V0B"
0,2.24803493363422,0.434,0.064,0,"Epithelial cells","ERBB2"
0,1.31501568040849,0.609,0.24,0,"Epithelial cells","S100A13"
0,1.00660772782212,0.526,0.158,0,"Epithelial cells","CYFIP2"
0,2.41950381406055,0.417,0.05,0,"Epithelial cells","SORL1"
0,0.914411534110581,0.54,0.177,0,"Epithelial cells","CKB"
0,1.876929728785,0.438,0.076,0,"Epithelial cells","EPS8L2"
0,0.954849775749731,0.562,0.201,0,"Epithelial cells","CA2"
0,0.788178896559453,0.648,0.287,0,"Epithelial cells","MRPS6"
0,1.48053177317385,0.446,0.086,0,"Epithelial cells","KRT8"
0,1.11596935065487,0.597,0.237,0,"Epithelial cells","SNHG14"
0,3.41349561467144,0.379,0.019,0,"Epithelial cells","CLDN8"
0,1.29055602623809,0.667,0.309,0,"Epithelial cells","BSG"
0,1.0429970639183,0.563,0.205,0,"Epithelial cells","CAMK2N1"
0,2.87747874841521,0.39,0.032,0,"Epithelial cells","DCDC2"
0,0.886513457691319,0.661,0.305,0,"Epithelial cells","PKM"
0,2.36452918508801,0.395,0.04,0,"Epithelial cells","SERINC2"
0,0.976227713873054,0.533,0.183,0,"Epithelial cells","EZR"
0,2.28286813966928,0.4,0.05,0,"Epithelial cells","TMEM238"
0,2.21536827984592,0.405,0.057,0,"Epithelial cells","RHOBTB3"
0,1.84630227459462,0.449,0.102,0,"Epithelial cells","ITM2C"
0,1.26252867845236,0.448,0.102,0,"Epithelial cells","PARD6B"
0,1.32803530928301,0.589,0.243,0,"Epithelial cells","MECOM"
0,0.943705015137823,0.731,0.385,0,"Epithelial cells","APLP2"
0,0.967754399881918,0.562,0.217,0,"Epithelial cells","COL18A1"
0,1.02542982745332,0.639,0.296,0,"Epithelial cells","BCAM"
0,1.63273735919501,0.453,0.112,0,"Epithelial cells","IVNS1ABP"
0,1.37553961407916,0.439,0.098,0,"Epithelial cells","CAPG"
0,0.756467242404937,0.61,0.27,0,"Epithelial cells","MPC2"
0,1.02522042044601,0.559,0.22,0,"Epithelial cells","FAM107B"
0,2.19214387567663,0.4,0.061,0,"Epithelial cells","SLC38A1"
0,3.12620325165231,0.374,0.035,0,"Epithelial cells","CLCNKB"
0,1.27183629077864,0.467,0.129,0,"Epithelial cells","VAV3"
0,1.33669050002443,0.481,0.143,0,"Epithelial cells","PDXK"
0,2.7312039537505,0.376,0.04,0,"Epithelial cells","ITGB8"
0,1.56486863776906,0.495,0.159,0,"Epithelial cells","CTSH"
0,0.805748365946247,0.711,0.375,0,"Epithelial cells","BEX3"
0,1.03111693197406,0.742,0.407,0,"Epithelial cells","TMEM59"
0,1.89139410687193,0.447,0.112,0,"Epithelial cells","FHIT"
0,0.772149161936833,0.777,0.443,0,"Epithelial cells","CYSTM1"
0,1.45019457861064,0.428,0.094,0,"Epithelial cells","PRKAA2"
0,0.764936201316077,0.759,0.428,0,"Epithelial cells","ENO1"
0,2.18595518397655,0.382,0.051,0,"Epithelial cells","RASSF7"
