"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.18407067720882,0.095,0.509,0,"NR4A1"
0,-3.0685805545413,0.134,0.509,0,"PDK4"
0,-3.24950682913699,0.062,0.393,0,"FKBP5"
0,-1.14749892273552,0.399,0.726,0,"DUSP1"
0,-1.41519148283526,0.354,0.674,0,"ZFP36"
0,-2.20435634312202,0.136,0.447,0,"KLF9"
0,-1.89055492264463,0.455,0.761,0,"CEBPD"
0,-1.33755545656532,0.3,0.602,0,"NFKBIA"
0,-2.58009387646935,0.054,0.354,0,"PER1"
0,-1.70149921211494,0.162,0.457,0,"SGK1"
0,-1.83819339727136,0.244,0.532,0,"TSC22D3"
0,-1.89889644231158,0.163,0.449,0,"SERTAD1"
0,-1.37179764449957,0.327,0.602,0,"ZFAND5"
0,-1.38567652273976,0.319,0.593,0,"KLF6"
0,-2.92002779629077,0.04,0.309,0,"CSRNP1"
0,-1.42285115994844,0.251,0.519,0,"EGR1"
0,-1.47686164078389,0.247,0.504,0,"BTG2"
0,-2.62372625176823,0.102,0.353,0,"ATF3"
0,-2.76686240451482,0.055,0.27,0,"ERRFI1"
0,-1.98669794803488,0.071,0.281,0,"CDKN1A"
0,-1.53385885444564,0.1,0.305,0,"RPS4Y1"
0,-3.07896454413467,0.03,0.216,0,"MAFF"
0,-3.18393472612166,0.053,0.226,0,"HLA-DRB5"
0,-2.53841268072295,0.046,0.203,0,"TIPARP"
0,-0.560255086027057,0.387,0.326,0,"S100A2"
0,-0.506712027667728,0.942,0.982,0,"EIF1"
0,-0.519223263064095,0.978,0.999,0,"MT-CYB"
2.60886423630012e-319,-1.17054506591997,0.219,0.476,7.68232251663296e-315,"MCL1"
7.87612490604432e-311,-1.62839522446423,0.232,0.468,2.31928250108287e-306,"GADD45A"
6.89222948371642e-303,-1.98415348703814,0.136,0.339,2.02955481606997e-298,"RASD1"
9.06008991587967e-297,-1.436624075503,0.104,0.299,2.66792467752909e-292,"MIR22HG"
1.23519310066926e-295,-1.57921767497219,0.199,0.423,3.63727312354077e-291,"CEBPB"
6.84814941290791e-293,-1.25599441906272,0.275,0.515,2.01657455761899e-288,"COX7A1"
5.0822030158017e-278,-1.46966488927902,0.14,0.345,1.49655632206313e-273,"PTP4A1"
2.10969054200662e-274,-2.11166340452037,0.059,0.209,6.21240573904689e-270,"USP2"
2.06342753164586e-244,-0.801314043993254,0.769,0.855,6.07617505243755e-240,"JUND"
2.98486797660886e-244,-1.39118828817309,0.261,0.478,8.7895407307201e-240,"CSRP1"
1.61553322354492e-242,-1.20315101759038,0.069,0.223,4.75726068337271e-238,"TP53INP2"
9.83605715207701e-242,-0.722285182950395,0.343,0.61,2.89642374957212e-237,"C8orf59"
5.13207319191783e-233,-1.58013845225879,0.131,0.311,1.51124159282404e-228,"DDIT4"
4.01645199654103e-232,-1.87595299195749,0.087,0.244,1.18272461942144e-227,"RGCC"
9.55760252857362e-232,-1.29714889655445,0.309,0.532,2.81442721658907e-227,"GADD45B"
5.66190362229498e-227,-1.13258508532953,0.17,0.37,1.6672607596572e-222,"PPP1R15A"
3.56975578631133e-226,-1.14382798077688,0.187,0.388,1.0511859863951e-221,"IDI1"
4.78503779491137e-224,-1.4667976824802,0.192,0.383,1.40905007946755e-219,"CREM"
1.03658165590758e-221,-1.1207777033373,0.197,0.403,3.05242200215105e-217,"DHRS3"
2.72186164650388e-215,-1.50128014255981,0.688,0.825,8.01506599045997e-211,"MT2A"
1.38312359031823e-210,-0.647546199908299,0.519,0.754,4.0728840364101e-206,"MINOS1"
4.12508806774251e-208,-2.80661327050199,0.129,0.285,1.21471468330814e-203,"MT1M"
9.03189410571399e-200,-1.02950036958454,0.469,0.661,2.6596218573096e-195,"HERPUD1"
5.7772661226986e-191,-0.519944970898234,0.41,0.674,1.70123155515106e-186,"FAM96B"
4.97671652911932e-187,-1.48589120737929,0.094,0.237,1.46549371632977e-182,"SH3BP5"
