"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001822","kidney development","26/545","225/18842",0.115555555555556,3.99504179408767,7.80008936978698,2.03038252285125e-09,4.50475405259837e-06,4.50475405259837e-06,"CD24/ASS1/ARG2/CTSH/HNF1B/NF1/POU3F3/HES1/HYAL2/EGR1/EPCAM/CTNNB1/PPP3CA/PAX2/VEGFA/NPNT/PROM1/CALB1/PKD2/TACSTD2/LRRK2/ID3/STAT1/PAX8/SOX4/HOXB7",26
"GO:0072080","nephron tubule development","15/545","74/18842",0.202702702702703,7.00793454004463,8.93701190571618,2.5942274770495e-09,4.50475405259837e-06,4.50475405259837e-06,"CD24/HNF1B/POU3F3/HES1/CTNNB1/PAX2/VEGFA/NPNT/PROM1/CALB1/PKD2/TACSTD2/STAT1/PAX8/HOXB7",15
"GO:0060993","kidney morphogenesis","14/545","64/18842",0.21875,7.56272935779817,9.07632620554365,3.08002270106384e-09,4.50475405259837e-06,4.50475405259837e-06,"HNF1B/HES1/PPP3CA/PAX2/VEGFA/NPNT/CALB1/PKD2/TACSTD2/LRRK2/STAT1/PAX8/SOX4/HOXB7",14
"GO:0072001","renal system development","26/545","231/18842",0.112554112554113,3.89127447476071,7.63081174334982,3.56574308523016e-09,4.50475405259837e-06,4.50475405259837e-06,"CD24/ASS1/ARG2/CTSH/HNF1B/NF1/POU3F3/HES1/HYAL2/EGR1/EPCAM/CTNNB1/PPP3CA/PAX2/VEGFA/NPNT/PROM1/CALB1/PKD2/TACSTD2/LRRK2/ID3/STAT1/PAX8/SOX4/HOXB7",26
"GO:0061326","renal tubule development","15/545","76/18842",0.197368421052632,6.82351521004346,8.77943233828066,3.83057317397821e-09,4.50475405259837e-06,4.50475405259837e-06,"CD24/HNF1B/POU3F3/HES1/CTNNB1/PAX2/VEGFA/NPNT/PROM1/CALB1/PKD2/TACSTD2/STAT1/PAX8/HOXB7",15
"GO:0062197","cellular response to chemical stress","29/545","301/18842",0.0963455149501661,3.3309031058551,7.03560053539335,1.59454232445633e-08,1.45847423576719e-05,1.45847423576719e-05,"SOD3/MGST1/FOXO3/PRKAA2/DNAJA1/NFAT5/PINK1/GPX3/GDF15/PLEKHA1/HSPA1B/MAP1LC3A/YBX3/RHOB/ERRFI1/KLF2/DDIT3/PKD2/LRRK2/HSPA1A/FXYD2/MET/FOS/PAM/AKR1B1/FOXP1/MSRA/HIF1A/MYLK",29
"GO:0072073","kidney epithelium development","17/545","110/18842",0.154545454545455,5.34301918265221,7.88417576310955,1.73627885210379e-08,1.45847423576719e-05,1.45847423576719e-05,"CD24/ARG2/HNF1B/POU3F3/HES1/EPCAM/CTNNB1/PAX2/VEGFA/NPNT/PROM1/CALB1/PKD2/TACSTD2/STAT1/PAX8/HOXB7",17
"GO:0072009","nephron epithelium development","15/545","90/18842",0.166666666666667,5.76207951070336,7.81545706919158,4.25408457976661e-08,3.12675216612846e-05,3.12675216612846e-05,"CD24/HNF1B/POU3F3/HES1/CTNNB1/PAX2/VEGFA/NPNT/PROM1/CALB1/PKD2/TACSTD2/STAT1/PAX8/HOXB7",15
"GO:0009611","response to wounding","38/545","496/18842",0.0766129032258065,2.64869783959751,6.42201764360591,5.22069986760871e-08,3.41085724683769e-05,3.41085724683769e-05,"CD151/TMX1/MYL9/DSP/GRN/NF1/OCLN/F11R/SPP1/PHLDB2/IL6ST/APOE/ENG/DDR1/ITGA2/PPP3CA/ZFP36L2/ADGRG1/VEGFA/VAV3/DDIT3/SERPING1/PLCG2/CSRP1/SRSF6/CDKN1A/ITGAV/TFPI/KNG1/FOLR1/ZFP36/CLDN3/ERBB2/ARFGEF1/SERPINA1/HIF1A/TNFRSF12A/MYLK",38
"GO:0001763","morphogenesis of a branching structure","15/545","93/18842",0.161290322580645,5.57620597810003,7.63516216785507,6.69976608511598e-08,3.9394624580482e-05,3.9394624580482e-05,"CTSH/ENG/TGFBR2/CTNNB1/PAX2/VEGFA/NPNT/PKD2/TACSTD2/LRRK2/PKHD1/MET/PAX8/BTBD7/HOXB7",15
"GO:0061138","morphogenesis of a branching epithelium","14/545","81/18842",0.172839506172839,5.97548986295164,7.74480781494964,7.47296709232444e-08,3.99464059116979e-05,3.99464059116979e-05,"CTSH/ENG/TGFBR2/CTNNB1/PAX2/VEGFA/NPNT/PKD2/TACSTD2/PKHD1/MET/PAX8/BTBD7/HOXB7",14
