"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","17/336","137/9382",0.124087591240876,3.46485053875565,5.60097108823332,7.37372648418041e-06,0.00202338860883357,0.00202338860883357,"5783/1075/1512/4000/4616/8743/3709/4170/1649/1647/10912/3725/4792/2353/54205/1509/823",17
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","18/336","157/9382",0.114649681528662,3.20131938125569,5.36062726668906,1.21771248631021e-05,0.00202338860883357,0.00202338860883357,"292/291/2309/6237/595/4616/5606/7048/3709/5530/678/2113/1647/10912/5928/1026/3133/823",18
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","16/336","133/9382",0.120300751879699,3.35911206587898,5.28071728977791,2.03326993006266e-05,0.00202338860883357,0.00202338860883357,"2309/595/4616/5563/6446/8743/92579/7048/23710/5105/10365/1647/901/10912/1026/11337",16
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","20/336","196/9382",0.102040816326531,2.84924684159378,5.04226440930038,2.3058559644827e-05,0.00202338860883357,0.00202338860883357,"7316/595/3572/3709/1499/84557/5530/7422/5336/3725/1827/4792/1026/2353/3133/54205/6772/7538/2791/3091",20
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","8/336","37/9382",0.216216216216216,6.03732303732304,5.91666426886712,3.87048756224166e-05,0.00271708226869364,0.00271708226869364,"595/4616/1499/1647/10912/1026/999/7849",8
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","18/336","175/9382",0.102857142857143,2.87204081632653,4.81771584544635,5.32148168015834e-05,0.00311306678289263,0.00311306678289263,"3312/267/23645/3337/9709/7991/3301/10808/23193/3304/9601/4121/23471/1649/3303/201595/54431/823",18
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","25/336","300/9382",0.0833333333333333,2.32688492063492,4.50162228534638,7.20901338193261e-05,0.00361480528151193,0.00361480528151192,"1848/3312/6237/4763/1843/4616/4214/3164/5606/3727/7048/3304/5530/7422/1649/1647/3303/10912/3925/3725/4233/5567/2353/2122/2064",25
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","15/336","142/9382",0.105633802816901,2.94957243460765,4.51142225076917,0.000165265660217829,0.00725103084205727,0.00725103084205727,"3726/2355/1535/4982/3727/7048/3709/5530/5336/3725/4792/9021/2353/6772/2354",15
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","9/336","59/9382",0.152542372881356,4.25938256658596,4.840045195113,0.000224937289117365,0.00859066504773148,0.00859066504773148,"2309/595/4616/1499/1647/10912/1026/999/2064",9
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","21/336","250/9382",0.084,2.3455,4.15562805913208,0.000244748291958162,0.00859066504773148,0.00859066504773148,"164/1075/1512/55737/2517/9741/8692/3920/2799/23230/54832/2548/6272/135112/2720/527/4758/55353/1203/1509/427",21
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","10/336","75/9382",0.133333333333333,3.72301587301587,4.56290957897593,0.000317179365344005,0.0101209052032496,0.0101209052032496,"64065/595/4616/4194/1647/9540/901/10912/1026/54205",10
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","18/336","204/9382",0.0882352941176471,2.46376050420168,4.07358700613328,0.000373487795192457,0.010357902206155,0.010357902206155,"6383/6237/595/8322/3709/1499/3673/7422/10451/7430/7078/5336/1026/3685/4233/5567/2064/3091",18
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","16/336","170/9382",0.0941176470588235,2.62801120448179,4.12829573150434,0.000383626007635371,0.010357902206155,0.010357902206155,"84612/10398/595/100506658/5563/50848/4214/4628/8531/7430/3725/9071/5567/3993/1365/2064",16
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","19/336","224/9382",0.0848214285714286,2.36843643707483,3.99497654700606,0.000425574634906209,0.0106697640608628,0.0106697640608628,"3127/292/291/595/7514/4214/2114/7048/1958/5530/2113/3725/4792/1026/5567/2353/3133/7538/4316",19
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","11/336","93/9382",0.118279569892473,3.30267537122376,4.30086314832846,0.00046501549553412,0.0108813625954984,0.0108813625954984,"595/4616/3911/3673/1647/10912/4792/1026/3685/3912/54205",11
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/336","56/9382",0.142857142857143,3.98894557823129,4.32344790679511,0.000787662712576074,0.0172793507571376,0.0172793507571376,"3297/3312/3304/9554/3303/1937/4792/54205",8
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","10/336","87/9382",0.114942528735632,3.20949644225506,3.99019528238974,0.00104763691966908,0.0216306211061087,0.0216306211061087,"595/4616/7048/1499/1647/10912/3725/1026/2353/54205",10
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","9/336","73/9382",0.123287671232877,3.44251467710372,4.03750443099409,0.00111998862874376,0.0218397782605034,0.0218397782605034,"2309/595/4616/1647/10912/5336/1026/4233/2064",9
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","12/336","122/9382",0.0983606557377049,2.74648711943794,3.74201672261078,0.00138168890891455,0.025524884580474,0.025524884580474,"483/595/1499/5336/486/1827/9882/3685/5567/6772/10231/3091",12
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","9/336","77/9382",0.116883116883117,3.2636827458256,3.84386962869338,0.00164223215543442,0.0274487374551181,0.0274487374551181,"595/4616/7048/7422/1647/10912/1026/6772/2064",9
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","9/336","77/9382",0.116883116883117,3.2636827458256,3.84386962869338,0.00164223215543442,0.0274487374551181,0.0274487374551181,"595/4616/7048/1647/10912/1487/4792/1026/2122",9
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","17/336","217/9382",0.0783410138248848,2.18748628483652,3.41081488483824,0.00201773952246716,0.0321921169266351,0.0321921169266351,"9517/6282/1832/6271/100506658/5652/3911/6284/6273/3875/5523/9071/3728/1365/6768/7357/823",17
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","6/336","38/9382",0.157894736842105,4.40883458646617,4.05786155692516,0.0021123444201037,0.0322362126720173,0.0322362126720173,"483/53828/6446/486/6337/3758",6
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","13/336","150/9382",0.0866666666666667,2.41996031746032,3.37862393397091,0.00278868981670502,0.040784588569311,0.040784588569311,"5243/595/4616/8322/7048/1499/1647/10912/1026/999/4233/3728/2064",13
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","17/336","227/9382",0.0748898678414097,2.09112125026222,3.20717518712466,0.00323372710128991,0.0454015285021103,0.0454015285021103,"292/4257/518/291/2309/1535/1346/4519/7422/1645/3725/4792/4233/2353/10476/539/3091",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","13/336","154/9382",0.0844155844155844,2.35710420531849,3.27254538870423,0.0035054264676494,0.0456169324786541,0.045616932478654,"595/3696/6696/3911/1499/3673/7422/255743/999/3685/3912/4233/2064",13
