"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.11493294172353,0.525,0.045,0,"Epithelial cells","WFDC2"
0,3.91886775813841,0.286,0.019,0,"Epithelial cells","KRT7"
0,3.53959083013022,0.339,0.018,0,"Epithelial cells","CLDN3"
0,3.52643718622456,0.496,0.059,0,"Epithelial cells","HSD11B2"
0,3.4465659941455,0.409,0.022,0,"Epithelial cells","CLDN4"
0,3.41349561467144,0.379,0.019,0,"Epithelial cells","CLDN8"
0,3.40651183402519,0.29,0.019,0,"Epithelial cells","DSG2"
0,3.38468651942198,0.323,0.019,0,"Epithelial cells","ATP6V0A4"
0,3.29129927988704,0.497,0.042,0,"Epithelial cells","MUC1"
0,3.22662934204697,0.387,0.073,0,"Epithelial cells","ERBB4"
0,8.02605282382509,0.287,0.004,0,"Endothelial cells","CRHBP"
0,7.72097037129926,0.352,0.003,0,"Endothelial cells","CLEC14A"
0,7.41637241301517,0.534,0.008,0,"Endothelial cells","FLT1"
0,7.3542367631962,0.416,0.004,0,"Endothelial cells","KDR"
0,7.27996779949934,0.414,0.004,0,"Endothelial cells","CDH5"
0,7.26747408658794,0.391,0.007,0,"Endothelial cells","RAMP3"
0,7.14946867250166,0.462,0.008,0,"Endothelial cells","MMRN2"
0,7.14187999572099,0.338,0.003,0,"Endothelial cells","ROBO4"
0,7.13049688712232,0.528,0.007,0,"Endothelial cells","TEK"
0,7.0878393837973,0.375,0.01,0,"Endothelial cells","PLVAP"
0,9.26512641170217,0.676,0.005,0,"Fibroblasts","IL1RL1"
0,8.51360354238692,0.441,0.008,0,"Fibroblasts","C7"
0,8.50018942036861,0.541,0.005,0,"Fibroblasts","PDGFRA"
0,8.00601441729364,0.477,0.005,0,"Fibroblasts","POSTN"
0,6.67109607518507,0.586,0.012,0,"Fibroblasts","AGTR1"
0,6.67038342446225,0.45,0.012,0,"Fibroblasts","CHRDL1"
0,6.44617718977578,0.333,0.007,0,"Fibroblasts","PRR16"
0,6.4416455733764,0.36,0.008,0,"Fibroblasts","ITGA11"
0,6.33568795854479,0.532,0.024,0,"Fibroblasts","LAMA2"
0,6.09964028746795,0.514,0.028,0,"Fibroblasts","CCDC80"
0.000419434154881326,2.02621686153493,0.341,0.388,1,"Tcm/Naive helper T cells","PTGR1"
0.000558543518070831,1.56725240244395,0.36,0.418,1,"Tcm/Naive helper T cells","CA2"
0.000862046245514225,1.47045454081938,0.364,0.424,1,"Tcm/Naive helper T cells","FAM107B"
