"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,13.6754351127958,0.23,0,0,"SNHG29"
0,2.01481342413577,0.617,0.392,0,"WFDC2"
0,1.73056002156172,0.506,0.304,0,"SPP1"
0,4.25451983986719,0.264,0.068,0,"EEF1G"
0,1.84262639722297,0.469,0.274,0,"TSPAN1"
0,4.05401621746401,0.288,0.097,0,"RNASEK"
0,4.22343741178556,0.263,0.078,0,"NME2"
0,2.30749039824029,0.489,0.307,0,"PIGR"
0,5.07307618771534,0.215,0.033,0,"ATP6V0C"
0,1.80927218059606,0.311,0.136,0,"MMP7"
0,1.14249672036434,0.465,0.318,0,"TMEM176A"
0,2.54968583892222,0.221,0.078,0,"PROM1"
0,1.18235761156354,0.512,0.369,0,"TMEM176B"
0,1.02166565818013,0.472,0.329,0,"SOX4"
0,1.47102438402474,0.305,0.17,0,"ITGB8"
0,1.54337712798124,0.321,0.189,0,"CFI"
0,0.960939149107736,0.339,0.212,0,"CRIP1"
0,0.972140103696321,0.474,0.347,0,"XIST"
0,1.39918276829599,0.383,0.265,0,"TNFSF10"
0,1.51964945408589,0.407,0.291,0,"PAX8"
0,1.61522152372082,0.241,0.126,0,"TNFRSF11B"
0,1.72240770422496,0.613,0.5,0,"CLU"
0,1.53596795413213,0.494,0.381,0,"ITM2C"
0,1.54838907881569,0.229,0.118,0,"S100A1"
0,1.21421052107177,0.561,0.451,0,"PCSK1N"
0,0.593518378669972,0.373,0.264,0,"CXCL14"
0,1.81545392055616,0.209,0.102,0,"AKR1C1"
0,0.801161741697572,0.315,0.21,0,"IGFBP2"
0,1.2239954777771,0.428,0.324,0,"TACSTD2"
0,1.2594477189988,0.382,0.279,0,"BICC1"
0,1.12610832760738,0.436,0.334,0,"EMX2"
0,0.658631647896375,0.569,0.468,0,"MAL"
0,1.66430972385116,0.264,0.166,0,"PKHD1"
0,1.06328554887028,0.765,0.667,0,"HNRNPH1"
0,1.57816644880153,0.226,0.129,0,"MAP3K1"
0,0.78576655204704,0.632,0.536,0,"SPINT2"
0,1.5210866530887,0.214,0.119,0,"LRRK2"
0,1.17944769420864,0.282,0.187,0,"CLDN10"
0,0.892141303735168,0.453,0.359,0,"KCNJ16"
0,1.31260051457728,0.382,0.289,0,"KIF12"
0,1.80883689612054,0.272,0.179,0,"SOD3"
0,1.58670935859521,0.246,0.153,0,"CXADR"
0,1.66443268309221,0.48,0.387,0,"GABARAP"
0,1.61258546131886,0.225,0.133,0,"MACC1"
0,0.842803867627646,0.358,0.266,0,"CLDN3"
0,1.14281039630931,0.401,0.31,0,"CPVL"
0,1.12585981533562,0.268,0.178,0,"KCNJ15"
0,0.993238346753154,0.441,0.353,0,"CD24"
0,1.23504514942146,0.296,0.208,0,"POU3F3"
0,0.731273065304312,0.329,0.243,0,"ELF3"
0,0.553680697707528,0.58,0.494,0,"EPCAM"
0,0.909999306652486,0.289,0.203,0,"SLC16A4"
0,0.615252006602536,0.261,0.176,0,"BBOX1"
0,1.06756352119644,0.382,0.297,0,"MARCKS"
0,1.18582613148743,0.367,0.283,0,"RASSF7"
0,0.716192179868949,0.68,0.597,0,"FXYD2"
0,0.783053478848194,0.33,0.248,0,"IL32"
